id,part,quantity,status,notes
M1,ROBOTIS XM430-W350-T,1,candidate,12V TTL feedback servo; 3:1 output reduction; confirm running torque
M2_M3,STEPPERONLINE 17HS13-0404S1,2,candidate,42x42x34mm; 0.4A per phase; 0.26Nm holding torque
D2_D3,Current-limited STEP_DIR driver,2,select_exact_board,12V supply; adjustable 0.4A per phase; input logic must match MCU
MCU,Motion controller with ADC and hardware UART,1,select_exact_board,Independent of original R3 Nano and Timer1
DXL,Half-duplex TTL transceiver,1,select_exact_board,Match XM430-T and MCU logic voltage
P1,GT2 20T and 60T lid pulley pair,1,candidate,8mm output shaft; servo horn adapter required
B1,GT2 approximately 192mm lid belt,1,candidate,Motor centre distance adjustable; verify stock pulley flange dimensions
LS,Tr8x2 single-start lead screw,4,candidate,Front and rear screws same hand and lead; confirm real thread and self-locking
NUT,Tr8x2 matching lead nut,4,candidate,Anti-rotation mounts; do not use Tr8x8 nut
COUPLER,5mm to 8mm shaft coupler,2,candidate,Front motor to screw; axial load goes through bearings
P23,GT2 20T lift synchronising pulleys,4,candidate,Front 5mm bore; rear 8mm bore; flanges and retention required
B23,GT2 776mm pitch-length belt,2,candidate,388T; 368mm front-rear centres; tension adjustment required
GUIDE,6mm guide rod with bushing,4,candidate,Guides take moment; do not side-load lead nuts
BEARING,Lead screw thrust/radial bearing sets,4,select_exact_part,Axial reaction into frame; not motor bearings
AXLE,8mm lid axle and fixed hinges,1,fabricate_metal,Keyed or clamped hubs and axial collars
LIFT_SHAFT,6mm lift shaft 348mm,2,fabricate_metal,Low pickup axis and high roller axis
ROLLER,12mm OD low-friction roller,2,candidate,Right tray underside contact with axial retention
SPRING,Lid opening-assist torsion spring pair,1,select_exact_part,Combined torque 1.50Nm closed and 0.20Nm at 105 degrees
DAMPER,Lid rotary damper,1,select_exact_part,Limit power-off opening speed; confirm torque curve and temperature dependence
LIMIT,Home and upper limit switches,8,select_exact_part,Four lead screws; separate front/rear signals
POS,100mm independent linear position sensor,4,select_exact_part,Actual carriage feedback; attachment envelope provisional
ANGLE,Independent hinge angle sensor,1,select_exact_part,Check real hinge in addition to M1 encoder
OPEN_SW,Lid open limit switch,1,select_exact_part,105 degrees; existing closed reed retained and relocated
SEAT,Non-contact tray seating sensor,3,select_exact_part,No extra contact force during weighing
STOP,E-stop and obstruction sensing,1,select_exact_parts,Hardwired motor energy interruption and edge sensing required
PSU,Regulated 12V 5A bench supply,1,candidate,Robot power port capability not assumed
POWER,Branch protection and terminal distribution,1,design_required,Separate motor branches from existing T1A coil/sensor branch
CRADLE,3mm aluminium weighing cradle,1,fabricate_metal,New floating frame on existing L6D loaded spacer
TRAY,213.5x308x3mm aluminium tray and lips,1,fabricate_metal,10mm paper stack envelope; low side lip 15mm high
GUARDS,Column covers and slot bellows,1,fabricate_after_fit,CAD covers are partial; moving slot sealing must be fitted
FASTENERS,M3_M4_M6 hardware collars keys and shims,1,select_lengths_after_fit,Do not print load-bearing metal shaft or use loose unretained pulleys
R3_REUSE,R3 shell electronics L6D HX711 latch and Nano,1,reuse_modified_interfaces,See README for changed walls deck keeper clearance and load path
HANDLE,Front and rear welded steel carrying handle,2,fabricate_metal,14mm solid grip; 11mm legs; 4mm under-base feet; use both handles together
HANDLE_BOLT,M4x20 countersunk bolt,8,candidate,90deg head flush with base top; verify actual head dimensions against countersink
HANDLE_WASHER,M4 washer 9mm OD 1mm thick,8,candidate,Under handle feet
HANDLE_NUT,M4 locking nut,8,candidate,6mm maximum axial envelope; verify actual nut and thread engagement
BASE_HANDLE,R3 base with eight handle mounting holes,1,modify_existing,4.5mm through holes and 90deg countersinks; see CARRY_HANDLES.md
